epoch,train_loss,test_loss,restricted_train_loss,restricted_test_loss,excluded_train_loss,weight_norm_sq
0.0,4.759993382942724,4.7575002590843045,4.754808918245641,4.755314878805987,4.760064279029077,1783.378168106079
500.0,0.0007268805347796683,18.018583658964673,3.5886592852588417,3.710511132690197,0.004882564254719216,3549.5140264108777
1000.0,3.920676155476422e-06,22.87263096015649,2.51420753852304,2.61785953781488,0.00018972015786318896,3569.5327288052067
1500.0,3.5102781311663474e-07,24.460429856514192,1.8233213331063967,1.874903118334934,9.827284719545928e-05,3220.2148314500228
2000.0,3.356789973709135e-07,23.311014658691978,1.4421673010221203,1.4592791913349084,0.0002971332292820745,2939.605620530434
2500.0,3.2759319601556665e-07,22.14520276300971,1.1276222625277394,1.1291625452075549,0.001249491941544453,2805.261014554184
3000.0,3.1889660079913994e-07,20.887783750189882,0.8534232167523488,0.8457453980421501,0.008133249554676114,2715.1922881253995
3500.0,3.099749182345007e-07,19.402742646746855,0.6095712610962059,0.5964156251190043,0.06799622737424461,2638.1564767654054
4000.0,3.009227217207307e-07,17.56283159091427,0.4081730422658621,0.3906059090693714,0.40867568783938035,2561.5388801596127
4500.0,2.9034611240517533e-07,15.346217639871963,0.25246209224705796,0.23075274098575166,1.423049846638066,2480.8841049764305
5000.0,2.758874501513399e-07,12.399417694655284,0.1304352184087238,0.11163250725912266,3.4388887775178643,2383.6545801418833
5500.0,2.521348467851031e-07,8.075971095837932,0.048152139767013054,0.03662590077134635,6.869755609567333,2246.3765740967356
6000.0,2.0706555190572086e-07,2.3175231936705702,0.0037962890310652446,0.0025853608203512254,11.682349287666614,2008.8642095732503
6500.0,1.6497542264649965e-07,0.1488265247461009,9.898720357517611e-06,7.2701719752429375e-06,15.382274101622848,1685.106626145076
7000.0,1.3688981462787492e-07,0.005257742443164394,1.1106477944703473e-07,9.022404139202281e-08,15.263668660983326,1392.0030166073702
7100.0,1.3241326770039005e-07,0.002516697282651448,7.735024192008598e-08,6.369659055624029e-08,14.859424025425623,1342.748925509397
